"","fbname","betweenness"
"1","100毛",8575380.79546881
"2","健吾",6361146.36941494
"3","蘋果日報",5300800.17310281
"4","毛記電視",2935375.01129378
"5","Keyboard Frontline 鍵盤戰線",2633848.76063286
"6","喜劇演員",2300995.35878044
"7","豬場新聞 Pignewshk",2174825.4976216
"8","香港人 Secrets",2150664.92096383
"9","HOCC",2134564.47242831
"10","Progressust",2103230.92773899
"11","學民思潮 Scholarism",1963571.1217839
"12","《紙筲箕》社區迷你雜誌",1955550.27462693
"13","梁栢堅",1917673.2438975
"14","香港獨立媒體網",1822357.19601996
"15","東TOUCH",1817985.05391539
"16","新Monday",1610065.4067105
"17","唐生大地震",1479687.40750705
"18","新假期JetSo",1429229.63470333
"19","陳到 Do Chan",1394825.47552108
"20","USP United Social Press 社媒",1390870.0469112
"21","啱Channel",1362464.51129577
"22","MM",1338903.49262326
"23","飲食男女",1329935.69648406
"24","PassionTimes 熱血時報",1311284.28179494
"25","學舌鳥 Mocking Jer",1281929.88189886
"26","豬屎新聞 Juicy News",1280285.45979554
"27","林日曦",1273564.00981696
"28","Edko Films Ltd. 安樂影片",1228691.72366566
"29","麻利有隻小綿羊",1224456.94084075
"30","聚言時報 Polymer",1191583.07043977
"31","香港專上學生聯會(學聯)",1159134.91435635
"32","活在觀塘",1147754.12964341
"33","CUHK Secrets",1140456.18489906
"34","場邊故事",1109281.01819131
"35","BeautyExchange.com.hk",1081460.81871383
"36","U Magazine",1071292.78402665
"37","新假期周刊",1037413.96190682
"38","Kit Da Sketch - Kit Man",967543.159792657
"39","政府新聞網",937611.924185204
"40","my903.com 商業電台",934945.367431472
"41","集資登報揭穿保皇黨惡行專頁",903406.482014766
"42","廣告狂人 Madman Monologue",844881.892538566
"43","吳業坤 Ng Yip Kwan",835204.235639104
"44","黃之鋒 Joshua",825765.770762945
"45","杜遊珍",821474.314909512
"46","東北告急，無你點得 ?",819176.262443221
"47","潘小濤",817547.716863178
"48","Real Hong Kong News",807916.824459264
"49","JET magazine",752394.850430172
"50","OpenRice",747645.317793832
"51","本土民主前線",743316.728407105
"52","Face Magazine",742593.642954673
"53","果籽",735775.050140347
"54","時聞香港",734399.323299569
"55","灣仔好日誌",718999.640409392
"56","剷爆左膠",708426.883055008
"57","我係香港人",705624.413501663
"58","前線科技人員",702617.105971507
"59","Milk Magazine",702393.22869313
"60","有傘•友聚  Umbrella Unity",695217.4242349
"61","樂活鰂魚涌",692305.300596711
"62","MOOV",685886.709793321
"63","齊認罪 我係51萬「行得慢」遊行人士之一",647795.668133041
"64","福佳與林忌創作",643141.293797544
"65","迴光返照",638204.326170025
"66","梁祖堯",626034.051124622
"67","GOtrip",624524.978514278
"68","花生新聞",620177.400707804
"69","ME Magazine",617896.02363772
"70","我的港女老婆",616052.353067412
"71","社漫三號機",613181.402326463
"72","she.com",609790.285865243
"73","時事台",609611.840852618
"74","集雜志 Zine",608858.954148368
"75","昔日香港",604494.495383319
"76","黃耀明 Anthony Wong",600737.102171604
"77","召集十萬人反黑警！",594667.411672142
"78","Stand News 立場新聞",594016.752141411
"79","愛瞞日報Macau Concealers",592709.547007103
"80","DBC 數碼電台",590124.907132482
"81","沈旭暉國際生活台 Simon's Glocal World",587876.083020986
"82","社會民主連線",586684.136650416
"83","881903.com 商業電台",580607.920495812
"84","keymansoho 足球版圖",579920.288993387
"85","Green Monday",571642.408046519
"86","CityU Secrets",568893.977134499
"87","電影與娛樂盛事 Movie & Event Marketing",559466.946078685
"88","香港大學學生會 The Hong Kong University Students' Union",555566.06136244
